               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.022293,            0.016483,           0.0020101,             0.77622,             0.65901,             0.72115,             0.46189,            0.032009,            0.015131,            0.010291,            0.008713,            0.008713,            0.008713
                  80,             0.02247,            0.016369,            0.002079,             0.70985,             0.63003,             0.67269,             0.45446,            0.032526,            0.016111,            0.011054,           0.0086965,           0.0086965,           0.0086965
                  81,            0.021623,            0.016172,           0.0023231,             0.70915,             0.66053,             0.71876,             0.49644,            0.031624,            0.015262,            0.011071,             0.00868,             0.00868,             0.00868
                  82,            0.022278,             0.01614,           0.0020891,             0.73903,             0.69324,             0.70972,             0.48501,               0.033,            0.015423,            0.011919,           0.0086635,           0.0086635,           0.0086635
                  83,            0.021675,            0.016057,           0.0020048,             0.69024,             0.69715,             0.71518,             0.47999,            0.032852,            0.014937,            0.014621,            0.008647,            0.008647,            0.008647
                  84,             0.02222,            0.016163,           0.0020391,             0.79829,             0.66378,             0.72953,             0.48648,            0.032198,            0.015507,            0.014397,           0.0086305,           0.0086305,           0.0086305
                  85,            0.021824,            0.016746,           0.0021337,             0.80701,              0.7243,             0.73853,             0.49777,            0.031536,              0.0149,            0.014518,            0.008614,            0.008614,            0.008614
                  86,             0.02184,            0.015999,           0.0022724,              0.8213,              0.6314,             0.70029,             0.48438,            0.032825,            0.015641,            0.013037,           0.0085975,           0.0085975,           0.0085975
                  87,            0.021778,            0.015894,           0.0017605,             0.74932,             0.72068,             0.73695,             0.50027,            0.032839,            0.015262,            0.010622,            0.008581,            0.008581,            0.008581
                  88,            0.021369,            0.015527,           0.0018405,             0.70874,             0.73341,             0.73188,             0.50448,            0.031245,            0.014736,           0.0099846,           0.0085645,           0.0085645,           0.0085645
                  89,            0.021472,            0.016101,           0.0020663,             0.74856,             0.73847,             0.72845,             0.49255,            0.032151,            0.015339,            0.015132,            0.008548,            0.008548,            0.008548
                  90,            0.021735,             0.01566,           0.0019504,             0.79975,             0.63599,              0.6971,             0.47069,            0.031934,            0.015868,            0.013515,           0.0085315,           0.0085315,           0.0085315
                  91,            0.021334,            0.015414,           0.0017641,              0.7453,             0.71077,             0.72612,             0.49745,            0.031654,            0.015533,            0.013957,            0.008515,            0.008515,            0.008515
                  92,            0.021172,            0.015915,           0.0018777,             0.74095,             0.66592,             0.69389,             0.48329,            0.032243,            0.015382,            0.011447,           0.0084985,           0.0084985,           0.0084985
                  93,            0.021541,            0.015909,           0.0019037,             0.68901,             0.67671,              0.7133,             0.47375,            0.032315,            0.015147,            0.015467,            0.008482,            0.008482,            0.008482
                  94,            0.021004,            0.016048,           0.0018015,             0.80324,             0.59323,              0.6936,             0.48445,            0.032634,            0.016168,            0.011295,           0.0084655,           0.0084655,           0.0084655
                  95,             0.02129,            0.015991,           0.0017645,             0.82235,             0.62436,             0.69864,              0.4894,            0.032494,            0.015849,            0.011014,            0.008449,            0.008449,            0.008449
                  96,            0.021335,              0.0154,            0.001776,             0.73515,             0.72736,             0.72543,             0.51636,            0.031394,            0.015704,            0.013934,           0.0084325,           0.0084325,           0.0084325
                  97,            0.020979,             0.01527,           0.0017445,             0.64807,             0.71404,             0.67175,             0.49699,            0.031152,             0.01488,            0.016156,            0.008416,            0.008416,            0.008416
                  98,            0.020956,            0.015649,           0.0017141,             0.74677,             0.70189,             0.71905,             0.48099,              0.0309,             0.01532,             0.01377,           0.0083995,           0.0083995,           0.0083995
                  99,             0.02101,            0.015709,           0.0018369,             0.72645,             0.70514,             0.71467,             0.49021,            0.032961,            0.015065,            0.016856,            0.008383,            0.008383,            0.008383
                 100,            0.021681,            0.015603,           0.0017649,              0.7153,             0.71393,             0.71383,             0.50127,            0.032925,            0.015802,            0.014371,           0.0083665,           0.0083665,           0.0083665
                 101,             0.02161,            0.015501,           0.0016959,              0.8444,             0.64235,             0.72292,             0.47511,            0.032868,            0.015672,            0.015643,             0.00835,             0.00835,             0.00835
                 102,            0.021053,            0.015682,           0.0018199,             0.74463,             0.75362,             0.76471,             0.53077,            0.031867,             0.01532,            0.011708,           0.0083335,           0.0083335,           0.0083335
                 103,            0.020846,            0.015011,           0.0017268,             0.70437,             0.72341,             0.74538,             0.50767,            0.031588,            0.016023,            0.011127,            0.008317,            0.008317,            0.008317
                 104,            0.021005,            0.015569,           0.0019211,             0.72798,              0.6879,             0.70699,             0.48989,            0.031478,            0.015112,            0.012437,           0.0083005,           0.0083005,           0.0083005
                 105,            0.021174,            0.014865,           0.0017689,             0.78754,             0.68277,             0.73378,             0.48736,            0.032263,            0.015722,            0.012742,            0.008284,            0.008284,            0.008284
                 106,            0.021483,             0.01504,           0.0017115,             0.72681,             0.71164,             0.70226,               0.506,            0.032749,             0.01613,            0.013626,           0.0082675,           0.0082675,           0.0082675
                 107,            0.020989,             0.01561,           0.0017215,             0.76761,             0.67145,             0.70421,              0.4894,            0.032475,            0.015812,            0.015257,            0.008251,            0.008251,            0.008251
                 108,            0.021021,            0.015614,           0.0018846,             0.70793,             0.69592,             0.68908,              0.4698,            0.032713,            0.015249,            0.018956,           0.0082345,           0.0082345,           0.0082345
                 109,            0.020807,             0.01536,           0.0015989,             0.75327,             0.69805,             0.69644,             0.48915,            0.032915,            0.016345,             0.01391,            0.008218,            0.008218,            0.008218
                 110,            0.020826,            0.014778,           0.0014304,              0.7961,             0.67128,             0.72427,              0.5048,            0.032576,            0.016295,            0.016046,           0.0082015,           0.0082015,           0.0082015
